STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10114,0,1,1,1,1,0,0,2,1,3,2,4,3,4,3,1,1,3,2
10115,0,1,1,1,NA,0,0,2,1,2,2,2,4,2,4,1,1,3,2
10116,0,1,1,1,NA,0,0,2,0,3,1,3,3,2,3,0,0,3,2
10120,0,1,1,1,1,0,0,1.75,0,3,2,3,3,2,3,0,0,3,2
10121,0,1,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,1,1,5,1.5
10124,1,1,1,1,NA,0,0,2,0,2,1,4,2,4,4,1,0,4,2.5
10129,0,1,0,2,NA,0,0,2,1,2,1,3,4,2,4,1,1,4,3.5
10131,0,1,0,1,NA,0,1,1,3,NA,NA,NA,NA,NA,NA,1,0,5,4
10132,1,1,0,2,NA,0,0,2.25,1,3,1,4,4,4,3,0,0,4,3
10135,0,1,1,1,NA,0,0,2.25,1,3,1,3,4,3,4,1,1,1.5,0.5
10138,0,3,0,1,3,0,0,2,1,2,1,3,4,2,4,0,0,4.5,3
10139,0,1,1,1,NA,0,0,2,1,2,2,3,4,3,4,1,0,0.5,0.5
10140,1,2,1,1,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,0,1,0.5
10141,0,3,1,1,NA,0,0,3.5,0,3,2,3,4,3,3,0,0,1,0.25
10146,1,1,0,2,NA,0,0,2,1,3,2,3,3,2,2,1,1,2,0.5
10147,0,1,1,1,1,0,0,1,3,NA,NA,NA,NA,NA,NA,0,0,2,2
10149,0,1,1,1,1,0,0,2,1,2,1,3,4,3,3,1,1,4,2
10150,0,1,0,2,NA,0,0,2,1,3,1,4,4,2,3,0,0,4,2
10154,0,1,1,1,NA,0,0,1.5,0,2,2,4,3,4,2,1,0,4,4
10155,0,1,1,1,NA,0,0,1.5,0,3,1,3,3,4,3,0,0,4,3.5
10158,0,1,0,3,NA,0,0,2,1,3,1,4,4,2,3,1,1,4,4
10161,0,1,1,1,NA,0,0,2,0,3,1,4,4,3,2,1,1,4,1.5
10162,0,1,1,1,1,0,0,1.75,1,2,2,3,4,3,4,NA,NA,4,3.5
10163,0,1,0,2,NA,0,0,2.5,1,1,2,3,3,3,3,0,1,3.5,2
10164,0,5,0,2,NA,0,0,2,0,2,1,4,4,4,3,1,1,4,1.5
10166,0,1,0,2,2,0,0,1.25,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4
10167,0,1,1,1,NA,0,0,2.5,1,3,1,4,4,2,4,1,1,4,2.5
10168,0,1,0,2,NA,0,1,1.75,0,3,1,3,4,2,2,1,1,4,3
10169,0,1,0,2,NA,0,0,2,0,3,1,4,4,4,3,0,0,2.5,1.5
